Week	Region	Plant	Area	Brand	Type	Opening Stock (Pac)	End Stock (Pac)	FC (Pac)	SP (Pac)	SV (Pac)	Opening Stock (TH Stick)	End Stock (TH Stick)	FC (TH Stick)	SP (TH Stick)	SV (TH Stick)
1	JV4	ZD7B	 Surabaya	MBL20	HMS	28712	28712	16411.75954	0	4821	574.24	574.24	328.2351907	0	96.42
1	JV4	ZD7B	 Surabaya	MBR20	HMS	81706	81706	28671.72454	0	25690	1634.12	1634.12	573.4344908	0	513.8
1	JV4	ZD7B	 Surabaya	MCO12	HMS	551	551	0	0	200	6.612	6.612	0	0	2.4
1	JV4	ZD7B	 Surabaya	MFB12	HMS	150016	150016	30145.00201	0	58683	1800.192	1800.192	361.7400241	0	704.196
1	JV4	ZD7B	 Surabaya	MFB16	HMS	21251	21251	3498.345192	0	4219	340.016	340.016	55.97352307	0	67.504
1	JV4	ZD7B	 Surabaya	MFB20	HMS	97038	97038	24629.65412	0	27414	1940.76	1940.76	492.5930823	0	548.28
1	JV4	ZD7B	 Surabaya	MLD12	HMS	39151	56751	10859.80156	0	22259	469.812	681.012	130.3176187	0	267.108
1	JV4	ZD7B	 Surabaya	MLD16	HMS	485826	665826	257096.3874	0	192197	7773.216	10653.216	4113.542198	0	3075.152
1	JV4	ZD7B	 Surabaya	MLD50	HMS	1787	1787	394.2834167	0	964	89.35	89.35	19.71417083	0	48.2
1	JV4	ZD7B	 Surabaya	MLG20	HMS	12282	12282	0	0	0	245.64	245.64	0	0	0
1	JV4	ZD7B	 Surabaya	MMG20	HMS	5	5	0	0	0	0.1	0.1	0	0	0
1	JV4	ZD7B	 Surabaya	MMI20	HMS	24003	24003	12072.26703	0	4342	480.06	480.06	241.4453406	0	86.84
1	JV4	ZD7B	 Surabaya	MRL16	HMS	11965	11965	1651.610915	0	5831	191.44	191.44	26.42577463	0	93.296
1	JV4	ZD7B	 Surabaya	MSE16	HMS	7319	7319	579.1216955	0	2958	117.104	117.104	9.265947128	0	47.328
1	JV4	ZD7B	 Surabaya	MSU16	HMS	151	151	0	0	28	2.416	2.416	0	0	0.448
1	JV4	ZD7B	 Surabaya	MTB16	HMS	46085	46085	10745.76194	0	18760	737.36	737.36	171.932191	0	300.16
1	JV4	ZD7B	 Surabaya	MTR12	HMS	1	1	0	0	0	0.012	0.012	0	0	0
1	JV4	ZD7B	 Surabaya	MTR16	HMS	13787	13787	1196.603785	0	5701	220.592	220.592	19.14566056	0	91.216
1	JV4	ZD7B	 Surabaya	NAT20	BV1	600	600	5.479867987	0	0	12	12	0.10959736	0	0
1	JV4	ZD7B	 Surabaya	OEM10	BV1	46908	46908	12474.39902	0	2000	469.08	469.08	124.7439902	0	20
1	JV4	ZD7B	 Surabaya	OES12	BV1	5210	5210	12779.23704	0	2000	62.52	62.52	153.3508445	0	24
1	JV4	ZD7B	 Surabaya	SAH12	HMS	326935	326935	101387.8741	0	46931	3923.22	3923.22	1216.65449	0	563.172
1	JV4	ZD7B	 Surabaya	SAI12	HMS	455997	455997	173155.7331	0	128538	5471.964	5471.964	2077.868797	0	1542.456
1	JV4	ZD7B	 Surabaya	SLE12	HMS	392368	392368	102646.7834	0	88566	4708.416	4708.416	1231.761401	0	1062.792
1	JV4	ZD7B	 Surabaya	SLT12	BV1	6400	6400	1742.9	0	0	76.8	76.8	20.9148	0	0
1	JV4	ZD7B	 Surabaya	TTL16	BV1	2181	2181	562.7416832	0	565	34.896	34.896	9.003866931	0	9.04
1	JV4	ZD7B	 Surabaya	TWG16	BV1	200	200	41.34975625	0	0	3.2	3.2	0.6615961	0	0
1	JV4	ZD7B	 Surabaya	TWR12	BV1	13436	13436	561.9412527	0	1880	161.232	161.232	6.743295033	0	22.56
1	JV4	ZD7B	 Surabaya	TWR16	BV1	162	162	5084.212423	0	27	2.592	2.592	81.34739876	0	0.432
1	JV4	ZD7B	 Surabaya	TWY16	BV1	5134	6934	1601.802981	0	2255	82.144	110.944	25.6288477	0	36.08
1	JV4	ZD7B	 Surabaya	UTG12	BV1	9911	16311	4527.476291	0	3024	118.932	195.732	54.32971549	0	36.288
1	JV4	ZD7B	 Surabaya	MGA16	HMS	2010	2010	265.6802866	0	0	32.16	32.16	4.250884586	0	0
1	JV4	ZD7B	 Surabaya	SAL12	HMS	43565	43565	11100.50835	0	7356	522.78	522.78	133.2061002	0	88.272
1	JV4	ZD7B	 Surabaya	DLA12	HMS	99164	99164	28264.45533	0	21750	1189.968	1189.968	339.173464	0	261
1	JV4	ZD7B	 Surabaya	DTC12	HMS	43733	43733	4132.760466	0	2277	524.796	524.796	49.59312559	0	27.324
1	JV4	ZD7B	 Surabaya	MLA16	HMS	5890	5890	266.4626615	0	4280	94.24	94.24	4.263402584	0	68.48
1	JV4	ZD7B	 Surabaya	OEB12	BV1	2400	9600	2529.024545	0	0	28.8	115.2	30.34829453	0	0
1	JV4	ZD7B	 Surabaya	OEB16	BV1	595	595	0	0	0	9.52	9.52	0	0	0
1	JV4	ZD7B	 Surabaya	OEB20	BV1	1000	1000	545.3739285	0	0	20	20	10.90747857	0	0
1	JV4	ZD7B	 Surabaya	MKT12	HMS	53664	53664	11145.22688	0	7700	643.968	643.968	133.7427225	0	92.4
1	JV4	ZD7B	 Surabaya	MVT16	HMS	13	13	406.9983856	0	0	0.208	0.208	6.511974169	0	0
1	JV4	ZD7B	 Surabaya	SLS12	HMS	15845	15845	6653.034805	0	8087	190.14	190.14	79.83641766	0	97.044
1	JV4	ZD7B	 Surabaya	VOK12	BV1	149400	149400	14363.01	0	0	1792.8	1792.8	172.35612	0	0
1	JV4	ZD7B	 Surabaya	RKT16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7B	 Surabaya	SLA12	HMS	23613	23613	5780.934422	0	6345	283.356	283.356	69.37121307	0	76.14
1	JV4	ZD7B	 Surabaya	MCS12	HMS	79457	79457	23315.84545	0	31654	953.484	953.484	279.7901454	0	379.848
1	JV4	ZD7B	 Surabaya	MVP16	HMS	8920	8920	259.94687	0	770	142.72	142.72	4.159149921	0	12.32
1	JV4	ZD7B	 Surabaya	AVT20	HMS	7850	7850	207.8559211	0	250	157	157	4.157118423	0	5
1	JV4	ZD7B	 Surabaya	SGO12	HMS	58834	58834	16774.3989	0	15375	706.008	706.008	201.2927868	0	184.5
1	JV4	ZD7G	 Jember	ARB12	BV1	6003	6003	1549.175716	0	760	72.036	72.036	18.59010859	0	9.12
1	JV4	ZD7G	 Jember	ARK12	BV1	748	748	5.696671288	0	60	8.976	8.976	0.068360055	0	0.72
1	JV4	ZD7G	 Jember	ARL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	ARM12	BV1	808	808	127.9674238	0	0	9.696	9.696	1.535609085	0	0
1	JV4	ZD7G	 Jember	AUL12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	AUL16	HMS	1368	1368	0	0	3	21.888	21.888	0	0	0.048
1	JV4	ZD7G	 Jember	AVM20	HMS	1391	1391	277.0229231	0	170	27.82	27.82	5.540458462	0	3.4
1	JV4	ZD7G	 Jember	AVR20	HMS	13088	13088	1342.631093	0	3354	261.76	261.76	26.85262185	0	67.08
1	JV4	ZD7G	 Jember	BAJ12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	BRW12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	DLE12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	DRE12	HMS	19916	19916	5981.725969	0	2620	238.992	238.992	71.78071163	0	31.44
1	JV4	ZD7G	 Jember	DSB12	HMS	88674	88674	34571.62481	0	7635	1064.088	1064.088	414.8594977	0	91.62
1	JV4	ZD7G	 Jember	DSB16	HMS	18202	18202	2857.566409	0	3024	291.232	291.232	45.72106254	0	48.384
1	JV4	ZD7G	 Jember	DSE12	HMS	4354	4354	1265.918051	0	1033	52.248	52.248	15.19101661	0	12.396
1	JV4	ZD7G	 Jember	DSM12	HMS	16599	16599	6030.143477	0	7342	199.188	199.188	72.36172173	0	88.104
1	JV4	ZD7G	 Jember	DSS12	HMS	89657	89657	25585.98957	0	20190	1075.884	1075.884	307.0318749	0	242.28
1	JV4	ZD7G	 Jember	DSS16	HMS	12760	12760	5112.923982	0	1444	204.16	204.16	81.80678371	0	23.104
1	JV4	ZD7G	 Jember	DTS12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	GLP16	BV1	333	333	233.3562718	0	40	5.328	5.328	3.73370035	0	0.64
1	JV4	ZD7G	 Jember	GLY16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	KPT12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	LOK12	BV1	0	0	22.2726601	0	0	0	0	0.267271921	0	0
1	JV4	ZD7G	 Jember	MBC12	HMS	12668	12668	2316.249462	0	2737	152.016	152.016	27.79499355	0	32.844
1	JV4	ZD7G	 Jember	MBG20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	MBL20	HMS	4628	4628	2581.722353	0	1800	92.56	92.56	51.63444706	0	36
1	JV4	ZD7G	 Jember	MBR20	HMS	16648	16648	5893.349177	0	8679	332.96	332.96	117.8669835	0	173.58
1	JV4	ZD7G	 Jember	MCO12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	MFB12	HMS	38256	38256	7687.919061	0	12522	459.072	459.072	92.25502873	0	150.264
1	JV4	ZD7G	 Jember	MFB16	HMS	5352	5352	974.0586153	0	1060	85.632	85.632	15.58493785	0	16.96
1	JV4	ZD7G	 Jember	MFB20	HMS	18988	18988	3615.904613	0	3745	379.76	379.76	72.31809226	0	74.9
1	JV4	ZD7G	 Jember	MLD12	HMS	13870	13870	1210.341579	0	3326	166.44	166.44	14.52409895	0	39.912
1	JV4	ZD7G	 Jember	MLD16	HMS	249860	249860	37830.72289	0	31011	3997.76	3997.76	605.2915662	0	496.176
1	JV4	ZD7G	 Jember	MLD50	HMS	215	215	25.89872877	0	68	10.75	10.75	1.294936438	0	3.4
1	JV4	ZD7G	 Jember	MLG20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	MMG20	HMS	1	1	0	0	0	0.02	0.02	0	0	0
1	JV4	ZD7G	 Jember	MMI20	HMS	4227	4227	1423.897062	0	812	84.54	84.54	28.47794124	0	16.24
1	JV4	ZD7G	 Jember	MRL16	HMS	3784	3784	506.9723967	0	1830	60.544	60.544	8.111558347	0	29.28
1	JV4	ZD7G	 Jember	MSE16	HMS	9474	9474	275.3504048	0	2718	151.584	151.584	4.405606477	0	43.488
1	JV4	ZD7G	 Jember	MSU16	HMS	288	288	0	0	10	4.608	4.608	0	0	0.16
1	JV4	ZD7G	 Jember	MTB16	HMS	7697	7697	708.5390508	0	2154	123.152	123.152	11.33662481	0	34.464
1	JV4	ZD7G	 Jember	MTR12	HMS	3	3	0	0	0	0.036	0.036	0	0	0
1	JV4	ZD7G	 Jember	MTR16	HMS	4546	4546	541.7049717	0	2487	72.736	72.736	8.667279547	0	39.792
1	JV4	ZD7G	 Jember	NAT20	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	OEM10	BV1	9271	9271	171.4576372	0	91	92.71	92.71	1.714576372	0	0.91
1	JV4	ZD7G	 Jember	OES12	BV1	15562	15562	2837.376602	0	815	186.744	186.744	34.04851923	0	9.78
1	JV4	ZD7G	 Jember	SAH12	HMS	14763	14763	3799.696565	0	3350	177.156	177.156	45.59635878	0	40.2
1	JV4	ZD7G	 Jember	SAI12	HMS	178333	178333	67661.27267	0	27094	2139.996	2139.996	811.935272	0	325.128
1	JV4	ZD7G	 Jember	SLE12	HMS	148477	148477	38900.0018	0	21303	1781.724	1781.724	466.8000216	0	255.636
1	JV4	ZD7G	 Jember	SLT12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	TTL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	TWG16	BV1	588	588	24.98855119	0	326	9.408	9.408	0.399816819	0	5.216
1	JV4	ZD7G	 Jember	TWR12	BV1	2174	2174	372.4073001	0	360	26.088	26.088	4.468887601	0	4.32
1	JV4	ZD7G	 Jember	TWR16	BV1	246	246	1363.821361	0	83	3.936	3.936	21.82114178	0	1.328
1	JV4	ZD7G	 Jember	TWY16	BV1	313	313	227.9771045	0	15	5.008	5.008	3.647633673	0	0.24
1	JV4	ZD7G	 Jember	UTG12	BV1	7129	7129	1730.926273	0	740	85.548	85.548	20.77111527	0	8.88
1	JV4	ZD7G	 Jember	MGA16	HMS	600	600	52.94442806	0	230	9.6	9.6	0.847110849	0	3.68
1	JV4	ZD7G	 Jember	SAL12	HMS	12783	12783	3284.232792	0	1221	153.396	153.396	39.41079351	0	14.652
1	JV4	ZD7G	 Jember	DLA12	HMS	49033	49033	10281.47305	0	4204	588.396	588.396	123.3776766	0	50.448
1	JV4	ZD7G	 Jember	DTC12	HMS	52239	52239	2405.608948	0	418	626.868	626.868	28.86730737	0	5.016
1	JV4	ZD7G	 Jember	MLA16	HMS	5010	5010	174.583598	0	3600	80.16	80.16	2.793337567	0	57.6
1	JV4	ZD7G	 Jember	OEB12	BV1	4800	4800	1183.245417	0	0	57.6	57.6	14.198945	0	0
1	JV4	ZD7G	 Jember	OEB16	BV1	6000	6000	92.45	0	0	96	96	1.4792	0	0
1	JV4	ZD7G	 Jember	OEB20	BV1	600	600	172.9234407	0	0	12	12	3.458468815	0	0
1	JV4	ZD7G	 Jember	MKT12	HMS	7488	7488	836.0154576	0	1600	89.856	89.856	10.03218549	0	19.2
1	JV4	ZD7G	 Jember	MVT16	HMS	0	0	88.84926442	0	0	0	0	1.421588231	0	0
1	JV4	ZD7G	 Jember	SLS12	HMS	12074	12074	1251.45606	0	1542	144.888	144.888	15.01747272	0	18.504
1	JV4	ZD7G	 Jember	VOK12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7G	 Jember	RKT16	BV1	23533	23533	5717.370433	0	1830	376.528	376.528	91.47792693	0	29.28
1	JV4	ZD7G	 Jember	SLA12	HMS	15403	15403	1321.334295	0	3657	184.836	184.836	15.85601154	0	43.884
1	JV4	ZD7G	 Jember	MCS12	HMS	14854	14854	3256.547042	0	2091	178.248	178.248	39.07856451	0	25.092
1	JV4	ZD7G	 Jember	MVP16	HMS	1080	1080	61.7831006	0	600	17.28	17.28	0.98852961	0	9.6
1	JV4	ZD7G	 Jember	AVT20	HMS	622	622	26.66079142	0	600	12.44	12.44	0.533215828	0	12
1	JV4	ZD7G	 Jember	SGO12	HMS	36922	36922	7639.203211	0	6923	443.064	443.064	91.67043853	0	83.076
1	JV4	ZD7H	 Banyuwangi	ARB12	BV1	2564	2564	700.7807641	0	214	30.768	30.768	8.409369169	0	2.568
1	JV4	ZD7H	 Banyuwangi	ARK12	BV1	290	290	48.93294568	0	0	3.48	3.48	0.587195348	0	0
1	JV4	ZD7H	 Banyuwangi	ARL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	ARM12	BV1	115	115	135.4894463	0	0	1.38	1.38	1.625873356	0	0
1	JV4	ZD7H	 Banyuwangi	AUL12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	AUL16	HMS	403	403	0	0	0	6.448	6.448	0	0	0
1	JV4	ZD7H	 Banyuwangi	AVM20	HMS	447	447	77.55293857	0	113	8.94	8.94	1.551058771	0	2.26
1	JV4	ZD7H	 Banyuwangi	AVR20	HMS	6903	6903	1027.965618	0	461	138.06	138.06	20.55931235	0	9.22
1	JV4	ZD7H	 Banyuwangi	BAJ12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	BRW12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	DLE12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	DRE12	HMS	13471	13471	4052.39777	0	864	161.652	161.652	48.62877324	0	10.368
1	JV4	ZD7H	 Banyuwangi	DSB12	HMS	85871	85871	33517.27508	0	3990	1030.452	1030.452	402.207301	0	47.88
1	JV4	ZD7H	 Banyuwangi	DSB16	HMS	10065	10065	2358.576847	0	2555	161.04	161.04	37.73722955	0	40.88
1	JV4	ZD7H	 Banyuwangi	DSE12	HMS	1704	1704	193.8316645	0	11	20.448	20.448	2.325979975	0	0.132
1	JV4	ZD7H	 Banyuwangi	DSM12	HMS	12779	12779	4847.006315	0	2803	153.348	153.348	58.16407578	0	33.636
1	JV4	ZD7H	 Banyuwangi	DSS12	HMS	112208	112208	25376.06426	0	20720	1346.496	1346.496	304.5127712	0	248.64
1	JV4	ZD7H	 Banyuwangi	DSS16	HMS	15574	15574	8688.360418	0	938	249.184	249.184	139.0137667	0	15.008
1	JV4	ZD7H	 Banyuwangi	DTS12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	GLP16	BV1	0	0	11.38123571	0	0	0	0	0.182099771	0	0
1	JV4	ZD7H	 Banyuwangi	GLY16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	KPT12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	LOK12	BV1	0	0	7.184729064	0	0	0	0	0.086216749	0	0
1	JV4	ZD7H	 Banyuwangi	MBC12	HMS	14742	14742	3052.500397	0	2665	176.904	176.904	36.63000477	0	31.98
1	JV4	ZD7H	 Banyuwangi	MBG20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	MBL20	HMS	5698	5698	2477.678154	0	491	113.96	113.96	49.55356307	0	9.82
1	JV4	ZD7H	 Banyuwangi	MBR20	HMS	22667	22667	5820.493459	0	2477	453.34	453.34	116.4098692	0	49.54
1	JV4	ZD7H	 Banyuwangi	MCO12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	MFB12	HMS	22784	22784	4597.723091	0	2337	273.408	273.408	55.1726771	0	28.044
1	JV4	ZD7H	 Banyuwangi	MFB16	HMS	3345	3345	460.2658718	0	117	53.52	53.52	7.364253949	0	1.872
1	JV4	ZD7H	 Banyuwangi	MFB20	HMS	13005	13005	3221.030787	0	817	260.1	260.1	64.42061574	0	16.34
1	JV4	ZD7H	 Banyuwangi	MLD12	HMS	7370	7370	1002.014169	0	1872	88.44	88.44	12.02417003	0	22.464
1	JV4	ZD7H	 Banyuwangi	MLD16	HMS	207895	207895	40629.76096	0	20002	3326.32	3326.32	650.0761754	0	320.032
1	JV4	ZD7H	 Banyuwangi	MLD50	HMS	184	184	36.88532786	0	96	9.2	9.2	1.844266393	0	4.8
1	JV4	ZD7H	 Banyuwangi	MLG20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	MMG20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	MMI20	HMS	4199	4199	1248.37522	0	65	83.98	83.98	24.96750441	0	1.3
1	JV4	ZD7H	 Banyuwangi	MRL16	HMS	1154	1154	143.2244642	0	708	18.464	18.464	2.291591427	0	11.328
1	JV4	ZD7H	 Banyuwangi	MSE16	HMS	451	451	67.45659579	0	52	7.216	7.216	1.079305533	0	0.832
1	JV4	ZD7H	 Banyuwangi	MSU16	HMS	31	31	0	0	30	0.496	0.496	0	0	0.48
1	JV4	ZD7H	 Banyuwangi	MTB16	HMS	9782	9782	909.6572568	0	964	156.512	156.512	14.55451611	0	15.424
1	JV4	ZD7H	 Banyuwangi	MTR12	HMS	5	5	0	0	0	0.06	0.06	0	0	0
1	JV4	ZD7H	 Banyuwangi	MTR16	HMS	1604	1604	175.8678342	0	622	25.664	25.664	2.813885347	0	9.952
1	JV4	ZD7H	 Banyuwangi	NAT20	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	OEM10	BV1	3220	3220	556.032841	0	400	32.2	32.2	5.56032841	0	4
1	JV4	ZD7H	 Banyuwangi	OES12	BV1	4971	4971	2191.580111	0	450	59.652	59.652	26.29896134	0	5.4
1	JV4	ZD7H	 Banyuwangi	SAH12	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	SAI12	HMS	159238	159238	57700.01467	0	23719	1910.856	1910.856	692.400176	0	284.628
1	JV4	ZD7H	 Banyuwangi	SLE12	HMS	134624	134624	31255.44699	0	23154	1615.488	1615.488	375.0653639	0	277.848
1	JV4	ZD7H	 Banyuwangi	SLT12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	TTL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	TWG16	BV1	319	319	0.922577476	0	0	5.104	5.104	0.01476124	0	0
1	JV4	ZD7H	 Banyuwangi	TWR12	BV1	505	505	4.597198622	0	18	6.06	6.06	0.055166383	0	0.216
1	JV4	ZD7H	 Banyuwangi	TWR16	BV1	45	45	1194.549724	0	23	0.72	0.72	19.11279558	0	0.368
1	JV4	ZD7H	 Banyuwangi	TWY16	BV1	90	90	188.7551558	0	20	1.44	1.44	3.020082493	0	0.32
1	JV4	ZD7H	 Banyuwangi	UTG12	BV1	9772	9772	2415.607997	0	1253	117.264	117.264	28.98729597	0	15.036
1	JV4	ZD7H	 Banyuwangi	MGA16	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	SAL12	HMS	3713	3713	1046.807807	0	214	44.556	44.556	12.56169369	0	2.568
1	JV4	ZD7H	 Banyuwangi	DLA12	HMS	39019	39019	8854.583789	0	3146	468.228	468.228	106.2550055	0	37.752
1	JV4	ZD7H	 Banyuwangi	DTC12	HMS	14772	14772	650.1310855	0	105	177.264	177.264	7.801573026	0	1.26
1	JV4	ZD7H	 Banyuwangi	MLA16	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	OEB12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	OEB16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	OEB20	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	MKT12	HMS	11366	11366	444.1673724	0	92	136.392	136.392	5.330008469	0	1.104
1	JV4	ZD7H	 Banyuwangi	MVT16	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	SLS12	HMS	3345	3345	369.0628162	0	451	40.14	40.14	4.428753795	0	5.412
1	JV4	ZD7H	 Banyuwangi	VOK12	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	RKT16	BV1	25211	25211	5079.689567	0	404	403.376	403.376	81.27503307	0	6.464
1	JV4	ZD7H	 Banyuwangi	SLA12	HMS	1988	1988	537.9435235	0	110	23.856	23.856	6.455322282	0	1.32
1	JV4	ZD7H	 Banyuwangi	MCS12	HMS	13686	13686	4085.251299	0	2961	164.232	164.232	49.02301559	0	35.532
1	JV4	ZD7H	 Banyuwangi	MVP16	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	AVT20	HMS	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7H	 Banyuwangi	SGO12	HMS	20345	20345	4256.238421	0	1427	244.14	244.14	51.07486105	0	17.124
1	JV4	ZD7D	 Malang	ARB12	BV1	51140	51140	4909.007021	0	16319	613.68	613.68	58.90808425	0	195.828
1	JV4	ZD7D	 Malang	ARK12	BV1	997	997	1088.006733	0	990	11.964	11.964	13.05608079	0	11.88
1	JV4	ZD7D	 Malang	ARL16	BV1	0	0	0	0	0	0	0	0	0	0
1	JV4	ZD7D	 Malang	ARM12	BV1	84571	84571	35865.79486	0	34507	1014.852	1014.852	430.3895383	0	414.084
1	JV4	ZD7D	 Malang	AUL12	HMS	7	807	75.30404127	0	140	0.084	9.684	0.903648495	0	1.68
1	JV4	ZD7D	 Malang	AUL16	HMS	9	9	0	0	0	0.144	0.144	0	0	0
1	JV4	ZD7D	 Malang	AVM20	HMS	3287	3287	325.4777469	0	983	65.74	65.74	6.509554939	0	19.66
1	JV4	ZD7D	 Malang	AVR20	HMS	16035	16035	1939.026654	0	4161	320.7	320.7	38.78053308	0	83.22
